user_id,total_jobs,on_time_deliveries,cancelled_jobs,income_volatility,repeat_customers,peer_ratings,jobs_last_6m,jobs_last_12m,transaction_volume,customer_feedback_score,lifescore
36,255,324,27,0.6908839765508228,6,4.98,78,133,90241,7,525.8742696201656
37,364,387,29,0.6971358058918092,12,3.52,204,254,24397,2,359.6700372211445
38,68,257,25,0.6486389567688156,65,3.22,196,388,8704,6,1000.0
39,494,380,47,0.27528821345186016,3,3.89,24,365,17442,2,386.65243320499
40,78,344,20,0.15620656868662197,9,3.26,76,218,64788,6,1000.0
41,189,121,27,0.6359403268267109,87,2.72,77,430,10765,2,318.8956907796112
42,495,240,25,0.5993021161394377,16,2.5,75,437,11002,1,191.75491284166412
43,207,327,32,0.17935601028924097,51,3.62,82,402,12390,7,774.8171579884614
44,483,232,20,0.7051391455705633,5,4.59,32,323,45436,3,265.74279108380586
45,290,439,34,0.4551719917336564,82,3.93,134,413,85482,4,708.6154680932966
46,209,255,33,0.6677605916031529,68,5.0,125,118,7641,6,631.7401785347956
47,465,273,40,0.8373670797701507,95,3.22,47,386,34709,5,381.8085790099224
48,194,390,46,0.16972842857692316,73,3.2,12,357,40309,4,820.3631966784156
49,465,276,17,0.01914486799683668,8,2.9,17,59,16624,9,387.01257318111027
50,70,19,10,0.7791025863957868,90,2.91,217,413,10966,6,270.32239885456687
51,383,275,22,0.6096974251526159,76,3.21,115,114,90350,6,413.7024107276701
52,74,68,47,0.6996395696221217,82,4.48,224,429,35189,2,506.4071047760285
53,263,61,21,0.8381549749886426,20,4.76,39,382,72301,6,208.14509898847254
54,339,229,16,0.8028109348245005,23,4.94,27,36,96758,7,374.73797277013364
55,150,191,4,0.9609201469288247,3,3.08,50,465,18223,8,411.52785961981823
56,326,23,43,0.5359350788521182,23,4.7,19,297,79183,8,252.6684195943964
57,154,113,10,0.48849563265990537,58,3.32,134,266,5959,9,478.7829065643945
58,40,34,29,0.4018871998907301,98,2.78,65,282,28257,3,467.67189488121136
59,348,392,14,0.15369104284420454,2,4.68,119,146,98520,7,594.2938545560492
60,186,255,26,0.5726072328820224,67,4.09,208,349,51802,7,653.6259047726758
61,293,75,34,0.2770125243259788,39,2.91,68,310,88748,1,156.6924993445593
62,407,393,32,0.9213075122129755,47,3.57,56,489,28215,8,442.78657803573594
63,108,433,19,0.5831908042770976,53,3.22,168,331,56046,4,1000.0
64,335,192,15,0.5928401805081102,34,4.34,199,41,95593,5,359.67743434639686
65,33,352,33,0.35492466087701,94,3.63,73,54,35094,6,1000.0
66,261,76,1,0.05198935197770749,55,4.97,71,274,39669,3,373.4264598329658
67,284,159,34,0.03174376537298862,88,2.64,179,39,37126,5,486.98973069068194
68,365,230,39,0.4233351441531975,39,3.39,87,93,80036,5,367.4702796958153
69,72,17,27,0.08456537809723785,76,3.7,6,175,17772,1,324.18661512938405
70,405,174,46,0.6068469555401391,67,3.76,176,325,49586,3,337.0576254479427
71,359,241,38,0.8809730056396574,45,3.29,233,10,52943,3,298.25088111961054
72,111,283,5,0.8829148165187222,77,4.32,196,258,69868,1,988.044533289016
73,386,134,8,0.6590454101322324,12,4.69,213,270,50855,7,275.3714626947142
74,463,395,19,0.211231831472931,26,4.85,82,72,23218,1,475.49854258639056
75,474,103,0,0.8629968313588721,5,4.51,32,492,82008,7,174.77429050344006
76,447,343,7,0.8860934353132082,16,4.63,223,173,58205,4,367.73687327897505
77,283,82,22,0.1966535849529587,35,3.88,58,330,5959,9,362.5396404217614
78,450,412,2,0.7374260857706773,98,4.56,206,343,83979,7,554.3695355312208
79,54,371,3,0.28651954892712295,80,3.26,71,210,46134,5,1000.0
80,225,112,24,0.8026403123529297,1,3.5,168,231,26874,7,207.04096202870892
81,100,281,46,0.9972378999036027,76,3.29,106,161,2301,9,1000.0
82,439,119,37,0.030026005329392813,51,3.67,124,141,59017,6,325.26047607377905
83,69,454,14,0.8973658657909319,65,3.21,195,123,44319,1,1000.0
84,379,337,20,0.622630533598658,51,4.9,157,471,90616,6,473.58692029493955
85,407,137,34,0.9733826191648212,91,3.28,218,226,87219,1,227.96852825271702
86,21,490,45,0.4650095175264276,42,2.75,52,205,96192,4,1000.0
87,409,43,13,0.8473879305713737,89,3.82,171,290,23455,8,271.4723809094047
88,73,151,35,0.06239406859827723,21,2.64,51,211,5112,5,790.5657313568031
89,125,209,11,0.3352790500782957,54,2.78,226,492,58033,5,700.6472650577927
90,279,423,16,0.06701653775120997,66,3.05,25,144,59360,8,706.0048302057295
91,329,240,38,0.9753431334790705,98,3.66,162,243,83418,8,426.1877816804837
92,496,346,8,0.8169739072718367,59,3.58,96,150,33145,1,352.2707189003031
93,210,184,34,0.8525474212459705,57,4.5,163,205,33735,5,465.69305127078763
94,421,23,12,0.9379652314338942,11,4.35,125,52,73781,5,53.668862978481
95,237,477,14,0.08510348611978535,87,3.57,120,66,68641,8,951.2257209485839
96,63,54,17,0.38559759251333336,68,3.33,158,429,22711,1,414.67373672379745
97,181,39,32,0.07103488904400213,83,3.29,239,151,6630,7,364.93490901148175
98,221,275,5,0.21079310155002862,38,4.43,154,219,66488,7,638.519466706259
99,465,409,26,0.22936577703767236,12,2.63,153,81,4206,9,481.03460841563367
100,289,457,22,0.4691072110475787,40,2.53,5,233,57289,2,557.5251038029362
101,370,240,26,0.2685621674536426,56,4.49,169,36,19953,3,412.2884219594834
102,323,486,33,0.10097810681776109,52,3.69,81,137,11068,4,711.711254646854
103,290,138,45,0.1674910890941077,11,2.83,89,115,79930,1,256.14393731464725
104,475,477,37,0.14727556355209093,12,3.09,50,174,56916,7,520.3139985368404
105,481,52,13,0.9730767979122983,73,4.83,141,224,2067,3,210.2827778950871
106,234,342,35,0.7592925069184736,96,4.65,149,80,51658,3,712.97230012288
107,271,265,7,0.967761465269562,56,4.27,51,213,53165,3,432.3219069172285
108,209,403,34,0.43974048650790853,39,3.71,217,162,81781,8,809.8810904521924
109,315,190,18,0.2783684816626566,79,3.8,227,76,10859,9,539.7230617614513
110,232,104,29,0.7982931972091867,44,4.94,235,99,30164,2,293.5804021992844
111,227,416,13,0.3262539180411468,34,4.91,63,269,81913,1,781.9469892383447
112,256,468,19,0.2993833737053483,2,3.04,58,371,21773,9,700.6560315962728
113,357,51,48,0.2325059922078312,4,4.53,90,237,58295,6,260.7500051838291
114,386,330,24,0.12967897822423535,89,2.99,16,88,34939,9,543.3456274626544
115,72,190,39,0.25646306101676597,10,3.03,196,105,49599,6,925.9444594312237
116,299,475,23,0.3553197484738877,70,4.19,10,358,7114,2,687.8511562574632
117,429,298,13,0.6739942081457304,55,3.51,57,339,99475,1,370.2266606036949
118,236,467,25,0.06256484221945158,9,4.83,148,478,13818,8,911.9244731971831
119,271,475,37,0.21050693966534295,33,2.72,94,391,10335,3,671.7534692654294
120,207,95,22,0.8090236402916764,66,3.78,9,255,56008,1,256.53973016545206
121,399,128,21,0.14692192358377076,71,4.8,77,281,72745,8,419.6130990446851
122,60,54,47,0.34264514652252154,30,4.76,178,412,44148,1,466.1905329159767
123,176,315,18,0.8646589218581401,74,2.89,236,166,4577,8,695.7423079393145
124,34,238,45,0.15492531114344266,70,3.42,18,125,74916,1,1000.0
125,320,332,2,0.0827368356181899,65,4.05,176,444,5076,9,688.1095639248456
126,84,363,41,0.48453799508001083,69,2.9,195,27,33925,9,1000.0
127,364,129,18,0.3024195112785364,40,4.92,110,451,52869,9,422.1307098269603
128,346,200,8,0.5634083644838541,62,4.79,226,181,60314,3,404.3234353994947
129,28,337,27,0.8038048904834751,31,2.92,56,25,42205,4,1000.0
130,363,70,19,0.13714848815274316,19,2.8,120,458,12095,5,181.4980251484436
131,148,54,44,0.580699084554285,56,2.71,30,249,85715,6,286.2080209990143
132,155,368,6,0.5055087603898639,97,4.77,57,395,57680,9,1000.0
133,491,54,13,0.14407878601319957,49,2.98,113,65,29400,4,251.88969975182525
134,82,361,8,0.6239984855289824,79,3.54,33,88,85297,6,1000.0
135,158,475,18,0.27364041786077165,24,3.62,23,112,68346,1,1000.0
136,100,251,46,0.4878343185440125,11,4.0,51,293,88110,2,894.2417652254189
137,411,303,13,0.08227232427706188,70,2.68,140,202,29562,8,525.5528306916567
138,182,276,37,0.45958405721362305,38,3.07,27,14,41663,4,585.9164460037947
139,438,230,35,0.3064634680428203,16,4.83,121,115,19510,7,412.04109777266257
140,308,161,39,0.8223812111853543,44,4.77,110,287,62608,4,285.59305166702313
141,398,350,16,0.05697872699736828,10,4.45,167,382,73489,9,555.7088848562115
142,280,182,29,0.41860727491832994,69,2.55,227,109,53182,9,412.7045189398135
143,250,106,8,0.458431424131438,22,3.32,57,247,88667,4,233.0502850491672
144,60,367,32,0.7250060762991187,90,4.07,231,278,27883,8,1000.0
145,47,73,24,0.574287575090211,69,3.19,100,330,72427,6,616.9136146085772
146,154,73,13,0.667212337194181,37,4.77,190,409,36844,1,306.06881152072606
147,220,318,10,0.7770492856517561,1,4.08,9,498,19728,7,521.5098370584105
148,347,183,34,0.8622029736581888,85,2.68,20,95,99923,1,239.4712715601304
149,287,283,40,0.3138754967224705,83,4.77,21,329,12094,3,594.5066661927881
150,437,377,13,0.538022705363903,88,4.89,164,41,3407,8,580.8019908397346
151,52,59,29,0.8401080784391999,78,2.69,106,345,56412,9,558.9657886623261
152,67,359,40,0.9894511309650564,92,3.83,228,60,13644,3,1000.0
153,426,195,3,0.8895193110437631,71,3.26,184,88,86834,1,284.8508075429279
154,81,184,3,0.3714672626243768,36,3.48,24,195,61746,1,792.2095272069288
155,235,370,27,0.19516651721865041,48,2.95,116,183,53748,7,724.0500658786759
156,312,205,7,0.4893925374065887,51,3.95,124,445,60021,5,435.2290554635409
157,118,169,1,0.7416414518360422,32,4.89,198,115,63651,1,576.4406720399342
158,191,436,40,0.4925690707532976,21,3.76,216,72,37807,6,829.490792373545
159,379,202,45,0.4831808633136685,4,2.71,115,85,35072,6,223.32269291456487
160,233,21,21,0.8382304210818006,17,4.05,214,325,39398,4,79.89410167092734
161,494,147,40,0.36140377906718635,37,3.35,5,330,29669,7,340.6876160826033
162,54,249,15,0.8597946748116456,36,4.64,62,382,31161,7,1000.0
163,468,59,28,0.40680480095172356,93,3.59,97,90,8282,9,322.2024632322839
164,246,328,48,0.3282331056783394,94,2.98,225,370,27539,1,590.7665857988666
165,120,263,47,0.453989911199699,63,2.98,215,137,4307,5,851.8641888626935
166,450,45,29,0.7624469586748684,9,4.42,176,192,18745,3,125.99513476166081
167,481,37,11,0.12600202786399428,78,3.16,236,252,40433,7,269.5464269921302
168,150,440,34,0.19641921587201738,41,4.42,10,194,35555,4,1000.0
169,276,408,10,0.951444825663092,47,3.01,112,229,2073,4,538.4351213556739
170,24,174,45,0.17549162738135737,43,3.3,107,80,33683,1,1000.0
171,237,377,49,0.5677273179310546,81,3.66,54,466,26741,1,696.4707725328187
172,274,451,20,0.5793144666619379,86,4.86,122,351,23286,2,671.0491511376898
173,417,172,20,0.4896244620502448,96,4.83,114,163,4599,2,442.62565611495734
174,378,53,4,0.6447452485768186,15,3.02,204,254,28293,1,128.7280005416467
175,302,429,47,0.22982672579761843,53,3.4,92,149,16389,8,667.3691475689819
176,412,96,19,0.5526622677767482,34,2.87,24,80,13318,6,201.81992207974497
177,226,370,36,0.37217325524689715,97,3.77,18,55,49875,6,799.7539235349657
178,34,272,2,0.661667259629189,27,3.65,137,56,4055,9,1000.0
179,365,220,43,0.14122354337314946,1,4.75,173,88,83579,5,394.5761156411658
180,61,91,32,0.5708774168394762,93,4.83,44,431,7320,4,752.3919042648877
181,399,491,8,0.1852703553833237,12,3.46,38,158,5642,6,569.8026444097535
182,480,26,8,0.2786430631150364,40,3.73,128,407,93694,8,246.95013764991728
183,198,309,3,0.21870980032358323,79,4.74,212,139,10321,1,776.6916895961364
184,82,464,34,0.1828377798688171,58,4.52,49,465,80968,7,1000.0
185,371,238,16,0.825710951560667,68,2.51,203,136,89293,8,357.1964774605396
186,250,27,33,0.28570756766089034,91,3.3,84,374,60618,9,335.04147211099774
187,260,60,23,0.9271237818644493,52,3.55,75,128,27044,8,229.73348636999035
188,71,169,31,0.9699265253451909,44,3.07,159,463,22971,7,798.1254008243938
189,115,127,0,0.5712604699370973,19,3.0,82,494,26727,3,372.7454157539131
190,407,247,7,0.1430011226657264,23,2.59,82,366,23559,2,311.27267451648993
191,241,31,44,0.37454824337958126,60,4.11,176,426,74820,3,263.5937094068085
192,426,374,22,0.797732263348214,90,3.16,37,498,84201,4,447.9358460271141
193,250,237,46,0.36739072869707046,93,2.63,37,271,28476,4,543.1621879255681
194,256,368,39,0.08701721830278875,57,3.08,48,253,63683,6,668.9122805722116
195,162,202,11,0.5567849109281879,26,4.5,24,483,11991,7,568.0676043771983
196,190,462,11,0.8451208514960348,25,4.63,249,391,86097,4,880.7407624779054
197,48,358,45,0.7959263871435024,6,3.71,115,112,71047,6,1000.0
198,55,379,46,0.17512314013035324,41,3.54,168,498,11796,9,1000.0
199,32,177,14,0.6727646144124667,46,4.94,11,46,4881,6,1000.0
200,179,340,40,0.2205042634356471,52,3.0,164,151,16668,3,755.5004175835339
201,346,481,18,0.21820753455217223,58,3.04,244,46,35312,1,620.6726361396601
202,206,428,25,0.8740717733051852,37,3.23,199,17,29106,5,714.542762677175
203,262,469,28,0.24966895274023015,68,2.93,171,240,93758,3,766.4992458631173
204,105,88,21,0.2632473465180112,86,3.45,225,342,16729,8,507.75867409075437
205,303,247,39,0.0006533907612995549,91,4.78,28,406,71320,1,545.6116245378187
206,85,238,20,0.8706690341255177,97,4.04,218,305,55913,2,968.7772007519861
207,189,496,37,0.7925948132091347,52,3.53,74,116,58026,3,884.3244073262978
208,64,333,19,0.627328935090678,14,4.84,116,357,60402,3,1000.0
209,81,426,28,0.7502657639388423,95,2.62,220,451,38282,8,1000.0
210,460,74,3,0.1520485674244918,25,3.03,108,27,75638,5,216.01632833747118
211,153,349,6,0.45832359458757543,47,3.91,219,322,39218,8,937.5917613068041
212,303,236,27,0.3512193873487809,94,4.04,58,92,18950,6,565.9121051712175
213,47,51,27,0.09377652625701649,18,2.6,42,431,60739,2,425.1623257098844
214,127,491,3,0.4861304852149241,8,3.51,78,297,5507,4,1000.0
215,63,292,21,0.9207396503426354,63,4.12,84,479,47303,9,1000.0
216,359,210,11,0.04005911905069448,92,4.25,207,203,80059,4,527.0499318537544
217,305,418,44,0.2914609134937939,53,4.1,36,470,25667,5,672.0156133285049
218,465,366,2,0.20754093620570346,50,3.3,49,224,4992,5,473.86962391686035
219,350,498,21,0.23814665366569632,38,2.73,65,290,74563,8,620.5821924733093
220,147,256,43,0.9084345518793753,3,3.57,202,229,88680,6,642.7667184110826
221,367,338,1,0.4680690542342901,2,2.82,220,451,26530,7,384.0034089571346
222,492,233,23,0.4662994129398188,63,4.87,229,468,16305,6,445.0780223581225
223,250,206,33,0.7605756424552823,28,3.69,57,298,53129,5,359.8554275184075
224,209,31,26,0.1544922040049258,10,3.29,132,353,88267,5,201.40522110739252
225,244,26,40,0.4872653541000508,96,4.42,183,203,87209,3,357.0935469101447
226,404,420,0,0.4299852141210597,57,3.74,80,167,99833,7,549.0040530774811
227,396,415,7,0.5969106905466561,74,3.28,188,474,53044,5,515.4127315066131
228,302,408,22,0.9995577032504386,26,4.53,31,113,92378,7,551.3171706896636
229,465,388,37,0.7694488940820471,96,4.67,170,43,90363,2,550.2123353960349
230,140,207,5,0.3978657030174272,20,4.18,66,111,59817,9,722.1647056603151
231,135,36,21,0.827553052274047,38,2.62,22,136,47666,8,229.17337207291968
232,480,488,24,0.17070836331248018,94,3.92,131,223,27173,5,697.9002144375437
233,252,134,17,0.030463686308960125,45,4.41,113,334,19909,2,394.6093096880444
234,278,224,16,0.20444837246427305,65,2.84,107,441,64967,6,497.69005895140725
235,378,320,11,0.34041155611425966,90,3.07,196,305,32007,8,541.9319928916728
236,217,284,5,0.5105807574595599,35,4.71,81,188,13985,7,580.9113811535641
237,475,206,25,0.6151291405411998,74,2.55,121,89,23525,8,342.1399849585237
238,430,189,26,0.9106057172144217,81,4.38,108,150,38403,4,319.39300478193445
239,156,299,7,0.5098540095504577,64,3.68,162,483,38193,3,806.3969992097734
240,337,218,18,0.5012756446257294,62,3.62,249,40,4830,7,416.2242309555364
241,184,178,41,0.05024300982298213,98,2.52,53,381,57144,2,537.6148979446303
242,244,265,0,0.03491155265622381,34,4.55,173,432,1533,5,640.5797836662164
243,326,241,28,0.5511599619163721,30,3.4,120,72,21946,7,387.7905736831826
244,253,450,44,0.4381786132483445,27,3.85,145,57,24504,1,699.3412133485532
245,191,395,48,0.8391803949802986,0,4.19,166,96,56715,4,709.5194267510377
246,171,474,34,0.16067958471184518,24,4.26,104,313,29255,2,1000.0
247,482,21,39,0.024971662117049598,42,4.89,226,70,57441,6,321.7965446213019
248,334,43,13,0.44903876793012587,83,3.83,129,405,37855,1,271.4068986397235
249,393,409,34,0.23747855675225749,66,3.5,29,343,42721,7,581.512240984385
250,179,47,47,0.04961437333883745,62,4.88,198,449,42850,3,368.9960911410985
251,115,148,44,0.724598286847629,50,4.11,132,283,35723,1,520.8625197795996
252,491,381,19,0.11159299995724747,1,3.25,104,420,36739,8,459.273892894021
253,252,93,48,0.6083195000077717,81,2.82,150,293,6539,7,336.7289854805156
254,199,430,12,0.28104975016688916,63,4.61,9,475,74029,2,920.9535557581357
255,132,449,37,0.17349605035502202,73,3.41,23,89,65509,7,1000.0
256,337,473,48,0.37975152291931746,68,4.15,174,189,22311,3,612.4150028646656
257,461,72,45,0.8014457762229537,8,3.68,22,281,70180,9,145.20066785932678
258,71,485,48,0.3920935769045727,1,3.0,125,86,86981,8,1000.0
259,287,40,7,0.7507696492110557,33,4.0,36,451,36934,5,160.17466064707614
260,314,496,42,0.1254862967991507,59,2.65,153,230,10511,7,704.9490687963104
261,405,444,19,0.7727714196650791,60,3.53,14,402,1183,3,459.34924054137315
262,406,240,32,0.23693332490664865,30,3.87,41,291,10475,1,337.90395966499045
263,132,299,25,0.6773931298888728,9,3.59,181,37,85766,1,775.8563671248357
264,120,18,38,0.5657815548409963,75,4.37,90,370,64130,2,265.73640907416603
265,132,479,20,0.9291447172116873,35,4.57,17,86,60577,8,1000.0
266,459,113,48,0.38732251797531403,84,4.43,187,173,27008,1,332.89589809156655
267,100,411,41,0.06616518883444045,48,2.6,149,18,77868,5,1000.0
268,206,53,42,0.019155485551252904,69,2.99,13,184,48941,9,412.5627614989013
269,132,285,40,0.8268585609727531,48,3.84,92,471,43756,9,819.6404619694658
270,21,389,8,0.5247356376614322,2,4.84,176,316,71258,2,1000.0
271,149,299,23,0.7752440518349493,73,4.59,210,85,81730,7,833.4503320492972
272,239,171,36,0.2344256000115147,4,4.61,50,254,93167,1,383.9861766440643
273,73,89,48,0.34508374551323373,89,3.26,140,131,28912,3,612.3739198095839
274,362,386,40,0.03010387221131894,60,3.57,123,194,83702,6,619.5018026364745
275,243,302,16,0.9614923245741122,84,3.68,169,41,51659,9,610.1921240981252
276,244,144,23,0.6678679067008134,89,2.89,23,495,47840,2,326.3267341384306
277,404,189,20,0.9332050877593062,25,2.58,195,460,82512,7,228.52761850643822
278,422,476,38,0.2654964074290723,71,4.87,224,259,39623,4,653.5928302931255
279,145,98,40,0.6114636112256608,4,3.1,178,66,64303,2,259.66212219957663
280,149,36,38,0.6784999682926378,14,3.1,237,319,47062,3,140.48141715725282
281,72,473,12,0.31754970025758844,15,2.71,98,381,57690,6,1000.0
282,191,41,10,0.8481092350156301,0,4.82,203,153,78582,9,231.6548938007668
283,237,209,45,0.9471614629002478,15,3.95,30,327,99980,8,365.35942071726583
284,179,351,18,0.8848551176960043,36,4.17,236,93,24634,9,769.0187516005906
285,217,396,10,0.7390669759393725,2,4.78,50,489,5090,4,665.7608564790089
286,435,250,12,0.27746467972495403,51,3.36,122,65,46266,4,347.9446277713794
287,266,454,45,0.28161604210563174,46,4.05,50,288,31008,9,765.5339903878922
288,343,106,44,0.9633603204460379,94,2.6,207,282,88643,8,283.05720884254896
289,458,491,0,0.010284495935692028,12,2.97,18,473,59704,2,463.06440544014964
290,222,35,39,0.7160499732421445,79,4.58,89,175,63866,8,307.41720159521196
291,203,317,43,0.7062461625552622,54,4.42,67,465,9382,1,608.9408611488371
292,142,478,18,0.6226895409497974,20,3.38,76,476,48774,9,1000.0
293,420,371,11,0.9901088460868658,65,3.44,7,167,75570,9,482.0208823516687
294,274,457,7,0.31187943576372523,53,3.83,32,258,75062,8,736.4650607557803
295,313,98,7,0.3399718637932482,26,2.5,129,195,90609,5,268.4573748210499
296,299,276,44,0.07893940294655555,37,3.1,161,491,47698,5,485.3908090380597
297,344,161,11,0.44279813654373745,89,3.02,91,87,2110,3,341.5364172039925
298,391,455,47,0.2610485262348481,57,3.13,150,31,82981,5,579.3525958748403
299,117,467,32,0.3433867021776442,61,4.51,167,117,1386,4,1000.0
300,217,401,44,0.8345717902556277,45,3.2,81,282,59513,1,627.2115950752603
301,489,271,25,0.9354845135274957,88,2.98,80,261,85120,9,372.29278108015114
302,414,72,38,0.18573307200518563,10,3.76,179,24,48801,4,230.51818689371316
303,259,394,27,0.37250893155346587,71,4.66,118,379,97085,3,716.2491010988687
304,163,436,4,0.9286305621153941,7,3.1,137,313,72857,6,876.1582507737155
305,116,29,7,0.06180846068922263,96,2.7,235,169,90976,1,290.91328736781196
306,220,176,24,0.09236052811137851,70,3.39,79,214,32566,5,492.7933273535042
307,143,459,26,0.16279098920622936,63,4.37,63,478,33521,7,1000.0
308,206,177,45,0.5952128341268748,20,3.88,207,122,24798,2,345.9913974611809
309,345,334,22,0.15047227100599747,71,4.54,63,177,14565,9,647.2727003049538
310,483,295,29,0.9680763814507335,62,4.9,243,362,24027,6,399.27527142867376
311,368,294,44,0.44671452725852034,84,4.48,238,262,98631,2,448.15394879210135
312,278,26,46,0.5015179603501664,63,4.01,51,450,6631,8,275.7779683688917
313,167,288,22,0.2466586158054065,19,3.73,99,195,90865,8,726.9453324011754
314,271,285,48,0.4709602524347335,7,2.6,227,356,57878,1,361.0477985249719
315,462,222,46,0.6619136326370115,57,4.96,145,236,46206,1,306.33024829838985
316,439,41,19,0.7511771369540428,45,3.46,82,25,59582,1,123.34495309074829
317,422,86,17,0.753868082709913,30,2.88,117,165,59334,4,125.33462309817882
318,365,74,17,0.5778911126940883,92,4.17,113,363,73323,4,310.4126431332718
319,470,444,1,0.9043597749938572,8,3.21,110,120,54619,8,324.55789355498365
320,166,487,3,0.8174078473061094,14,3.96,93,10,27875,1,933.4501367210568
321,167,159,29,0.7570481146986254,93,3.97,37,50,25514,3,480.69551432471536
322,371,107,32,0.05560552168046062,25,3.61,101,57,23580,1,263.28746813490386
323,218,323,35,0.006877962219649314,9,4.59,194,424,86827,9,736.0538768495719
324,327,22,17,0.21244727719547296,28,3.16,83,429,5288,9,245.53648312981073
325,436,93,36,0.6635235939134523,79,3.62,20,117,7734,7,317.45073455004837
326,443,41,18,0.4111974888825458,35,3.84,48,170,84000,8,243.1039190404123
327,147,188,46,0.40240625929931173,83,4.16,190,170,40008,1,637.0922626328115
328,58,64,27,0.8845868882296137,36,4.46,124,368,50349,5,503.26037323862136
329,357,213,39,0.8955628481318387,85,3.49,234,137,8814,2,338.1011855285549
330,379,401,19,0.9091752640535857,70,4.12,138,219,44154,1,459.482711997078
331,148,363,48,0.3138780765150273,22,2.88,112,160,8851,3,872.349823848692
332,286,462,32,0.6910558127392618,40,4.83,221,453,2600,7,710.1955477937648
333,495,442,11,0.27163318127436964,92,3.46,147,264,57614,1,538.0248076885953
334,460,195,14,0.19060983307444979,79,4.32,8,480,73402,2,429.45155924892185
335,492,38,40,0.18463245734736922,27,2.55,60,472,4692,2,178.07454391003526
336,453,330,38,0.34210762086359403,47,3.01,68,227,59027,4,398.7461798183167
337,170,392,1,0.4299576197798217,37,3.72,200,39,21373,3,866.0563210959527
338,434,401,28,0.8309491710550684,30,4.7,226,482,99636,3,422.97250506106997
339,497,418,40,0.1198910934727121,13,3.82,166,54,63805,5,425.9390798420632
340,317,60,9,0.7349258473948942,96,4.82,223,89,81383,3,339.88779693630437
341,118,29,1,0.5314549141893053,72,3.71,99,48,15507,7,278.0587433204715
342,282,167,10,0.2879453426759925,90,3.73,60,249,63931,5,485.84466715941835
343,271,236,12,0.4928195845328246,87,2.8,36,54,76499,4,475.5460823885778
344,163,220,9,0.29994206977702265,76,4.51,240,87,72642,3,674.7405082294603
345,365,469,13,0.596081955238306,89,3.12,235,346,73869,4,603.0936901931071
346,131,287,17,0.4338439228552442,28,4.75,120,405,98449,2,849.6603720001768
347,79,396,8,0.16440552907887873,50,4.78,13,358,97819,1,1000.0
348,388,250,38,0.11658307455569672,48,4.86,195,297,40423,3,507.11775242395305
349,21,354,27,0.5466956820721302,42,3.8,109,449,96351,2,1000.0
350,404,242,2,0.9024130332861034,91,4.19,204,289,87120,1,415.8656118798668
